timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;190288
messages-total;0;19;24;24;24;24;24;55;55;55;55;55;55;86;86;86;86;86;86;106;106;106;106;106;106;141;141;141;141;141;141;182;182;182;182;182;182;217;217;217
messages-soc-temperature;0;1;1;1;1;1;1;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11
messages-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
messages-soc-motion;0;1;1;1;1;1;1;3;3;3;3;3;3;5;5;5;5;5;5;8;8;8;8;8;8;10;10;10;10;10;10;13;13;13;13;13;13;15;15;15
messages-soc-alarm;0;1;1;1;1;1;1;3;3;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;12;12;12;12;12;12;14;14;14
messages-soc-humidity;0;2;3;3;3;3;3;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11;11;11;11;14;14;14;14;14;14;16;16;16
messages-soc-door-lock;0;2;2;2;2;2;2;4;4;4;4;4;4;7;7;7;7;7;7;9;9;9;9;9;9;12;12;12;12;12;12;15;15;15;15;15;15;18;18;18
messages-server;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
messages-iot-controller;0;8;12;12;12;12;12;25;25;25;25;25;25;36;36;36;36;36;36;42;42;42;42;42;42;57;57;57;57;57;57;72;72;72;72;72;72;87;87;87
messages-soc-gate;0;1;1;1;1;1;1;3;3;3;3;3;3;6;6;6;6;6;6;11;11;11;11;11;11;14;14;14;14;14;14;20;20;20;20;20;20;23;23;23
messages-soc-smoke;0;1;1;1;1;1;1;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11
messages-desktop;0;1;1;1;1;1;1;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11
messages-soc-light;0;1;1;1;1;1;1;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;11;11;11
proposals-total;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-temperature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-motion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-alarm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-humidity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-door-lock;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-server;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-iot-controller;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-gate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-smoke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-desktop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proposals-soc-light;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
riskCount-global;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
riskCount-total;0;2;2;2;2;2;2;21;21;21;21;21;21;35;35;35;35;35;35;44;44;44;44;44;44;62;62;62;62;62;62;80;80;80;80;80;80;98;98;98
riskCount-soc-temperature;0;0;0;0;0;0;0;3;3;3;3;3;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
riskCount-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
